견적날짜,현장명,제품명,규격,단가
2024-10-28,경북 경산시 학원 9589,올데이A벽면형,1070*1400*1340,205000
2024-10-28,경북 경산시 학원 9589,올데이A양면형,2140*1400*1340,315000
2024-10-25,인천송도 / 페르마수학학원,올데이BB양면형책상,오픈형/1218*750*1200,215000
2024-10-25,인천송도 / 페르마수학학원,올데이BB끝자리수납장,오픈형/600*270*1200,98000
2024-10-25,인천송도 / 페르마수학학원,올데이BA단면형책상,오픈형/1218*750*1200,215000
2024-10-25,인천송도 / 페르마수학학원,올데이BA단면형책장,오픈형/690*270*1200,115000
2024-10-25,인천송도 / 페르마수학학원,올데이BB양면형책상,오픈형/1218*750*1200,215000
2024-10-25,인천송도 / 페르마수학학원,올데이BB끝자리수납장,오픈형/600*270*1200,98000
2024-10-25,인천송도 / 페르마수학학원,올데이BA단면형책상,오픈형/1218*750*1200,215000
2024-10-25,인천송도 / 페르마수학학원,올데이BA단면형책장,오픈형/690*270*1200,115000
2024-10-23,인천송도/페르마수학학원,올데이BB양면형책상,오픈형/1218*750*1200,215000
2024-10-23,인천송도/페르마수학학원,올데이BB끝자리수납장,오픈형/600*270*1200,98000
2024-10-18,일산 학원 7797/2차,올데이C111인,1488*1500*1200740,389000
2024-10-18,일산 학원 7797/2차,올데이C121인,1388*1500*1200740,384000
2024-10-18,일산 학원 7797/2차,올데이C22인세트,2970*1500*1200740,560000
2024-10-18,일산 학원 7797/2차,올데이C1,독서등/아이클351F,59000
2024-10-18,일산 학원 7797/2차,올데이C2,스탠드/아이클PHX-004,69000
2024-10-18,일산 학원 7797/2차,올데이C,기본형2구실버 + 타공,13000
2024-10-15,일산 학원 7797/2차,올데이C111인,1488*1500*1200740,389000
2024-10-15,일산 학원 7797/2차,올데이C121인,1388*1500*1200740,384000
2024-10-15,일산 학원 7797/2차,올데이C22인세트,2970*1500*1200740,560000
2024-10-15,일산 학원 7797/2차,올데이C1,독서등/아이클351F,59000
2024-10-15,일산 학원 7797/2차,올데이C2,스탠드/아이클PHX-004,69000
2024-10-15,일산 학원 7797/2차,올데이C,기본형2구실버 + 타공,13000
2024-10-15,일산 학원 7797/2차,올데이C111인,1488*1500*1200740,389000
2024-10-15,일산 학원 7797/2차,올데이C121인,1388*1500*1200740,384000
2024-10-15,일산 학원 7797/2차,올데이C22인세트,2970*1500*1200740,560000
2024-10-15,일산 학원 7797/2차,올데이C1,독서등/아이클351F,59000
2024-10-15,일산 학원 7797/2차,올데이C2,스탠드/아이클PHX-004,69000
2024-10-15,일산 학원 7797/2차,올데이C,기본형2구실버 + 타공,13000
2024-10-10,일산 학원 7797/2차,올데이C11인,1388*1500*1200740,384000
2024-10-10,일산 학원 7797/2차,올데이C22인세트,2970*1500*1200740,560000
2024-10-10,일산 학원 7797/2차,올데이C1,독서등/아이클351F,59000
2024-10-10,일산 학원 7797/2차,올데이C2,스탠드/아이클PHX-004,69000
2024-10-10,일산 학원 7797/2차,올데이C,기본형2구실버 + 타공,13000
2024-10-07,일산 학원 7797/2차,올데이C11인,1388*1380600*1200740,352000
2024-10-07,일산 학원 7797/2차,올데이C11인,1388*1300600*1200740,352000
2024-10-07,일산 학원 7797/2차,올데이C,독서등/아이클351F,59000
2024-10-07,일산 학원 7797/2차,올데이C,기본형2구실버 + 타공,13000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1218*270*1200,214000
2024-09-11,전남 광주 / 관리형 학원,올데이B12,750*270*1200,98000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1218*270*1200,214000
2024-09-11,전남 광주 / 관리형 학원,올데이B12,750*270*1200,98000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1218*270*1200,214000
2024-09-11,전남 광주 / 관리형 학원,올데이B12,750*270*1200,98000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1218*586*1200,198000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1168*586*1200,198000
2024-09-11,전남 광주 / 관리형 학원,올데이B12,614*270*1200,98000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1218*586*1200,198000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1168*586*1200,198000
2024-09-11,전남 광주 / 관리형 학원,올데이B12,614*270*1200,98000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1218*586*1200,198000
2024-09-11,전남 광주 / 관리형 학원,올데이B12벽면배치 책상,1168*586*1200,198000
2024-09-11,전남 광주 / 관리형 학원,올데이B12,614*270*1200,98000
2024-09-04,인천 스터디카페 리뉴얼,올데이B1벽면형,1018*750*1200740,215000
2024-09-04,인천 스터디카페 리뉴얼,올데이B1벽면형,750*270*1200,105000
2024-09-04,인천 스터디카페 리뉴얼,올데이B2중앙형,1018*750*1200740,205000
2024-09-04,인천 스터디카페 리뉴얼,올데이B2끝자리수납장,750*270*1200,105000
2024-09-04,인천 스터디카페 리뉴얼,올데이B,2구실버 / 기구+타공,13000
2024-09-04,인천 스터디카페 리뉴얼,올데이B,백색으로 변경시,6000
2024-07-26,일산 학원 7797,올데이C2인,2636*1400600*1200740,578000
2024-07-26,일산 학원 7797,올데이C2인,2636*1450600*1200740,578000
2024-07-26,일산 학원 7797,올데이C1인,1438*1400600*1200740,352000
2024-07-26,일산 학원 7797,올데이C1인,1438*1300600*1200740,335000
2024-07-26,일산 학원 7797,올데이C,독서등/아이클351F,59000
2024-07-26,일산 학원 7797,올데이C,기본형2구실버 + 타공,13000
2024-07-23,일산 학원 7797,올데이C2인,2636*1400600*1200740,578000
2024-07-23,일산 학원 7797,올데이C2인,2636*1450600*1200740,578000
2024-07-23,일산 학원 7797,올데이1인,1438*1400600*1200740,352
2024-07-23,일산 학원 7797,올데이1인,1438*1300600*1200740,335000
2024-07-23,일산 학원 7797,올데이,독서등/아이클351F,59000
2024-07-23,일산 학원 7797,올데이C,기본형2구실버 + 타공,13000
2024-06-24,김포-관리형학원,올데이 BC22인책상,2인/W2418*D640*H1200,313000
2024-06-24,김포-관리형학원,올데이BC2인,W800*D300*H1200,132000
2024-06-24,김포-관리형학원,올데이 BC11인책상,1인/W1218*D640*H1200,183000
2024-06-24,김포-관리형학원,올데이BC1인,W800*D270*H1200,89000
2024-06-24,김포-관리형학원,올데이C11인,1인/W1168*D640*H1200,275000
2024-06-24,김포-관리형학원,올데이C11인,W800*D270*H1200,125000
2024-06-24,김포-관리형학원,올데이C22인,2인/W2318*D640*H1200,398000
2024-06-24,김포-관리형학원,올데이 C22인,W800*D300*H1200,132000
2024-06-24,김포-관리형학원,올데이ㅌ,W1218*D900×H1200,215000
2024-06-24,목동 일취월장,올데이C2인,2인/2398*640*1200,458000
2024-06-24,목동 일취월장,올데이C2인,660*300*1200,120000
2024-06-24,목동 일취월장,올데이C1인,1236-750-1200,278000
2024-06-24,목동 일취월장,올데이C끝자리수납장,600*270*1200,105000
2024-06-24,목동 일취월장,올데이C1인,1236*750*1200,278000
2024-06-24,목동 일취월장,올데이C1인,750*270*1200,120000
2024-06-24,목동 일취월장,올데이수납장 반도어추가,옵션변경다이얼키프포함,48000
2024-06-19,울산 작심/올데이BC,올데이 BC11인,1218*640*1200,255000
2024-06-19,울산 작심/올데이BC,올데이 BC11인,800*300*1200,142000
2024-06-19,울산 작심/올데이BC,올데이 BC22인,2418*640*1200,387000
2024-06-19,울산 작심/올데이BC,올데이 BC22인,800*300*1200,158000
2024-06-19,울산 작심/올데이BC,올데이 BC11인,1218*640*1200,198000
2024-06-19,울산 작심/올데이BC,올데이BC11인,800*300*1200,163000
2024-06-19,울산 작심/올데이BC,올데이 BC22인,2418*640*1200,298000
2024-06-19,울산 작심/올데이BC,올데이 BC22인,800*300*1200,179000
2024-06-19,울산 작심/올데이BC,올데이 BC11인,1218*640*1200,193000
2024-06-19,울산 작심/올데이BC,올데이 BC11인,800*300*1200,158000
2024-06-19,울산 작심/올데이BC,올데이 BC22인,2418*640*1200,288000
2024-06-19,울산 작심/올데이BC,올데이 BC22인,800*300*1200,174000
2024-06-18,김포-관리형학원/130석,올데이 B 단면형,W1218*D800*H1200,198000
2024-06-18,김포-관리형학원/130석,올데이 B 양면형,W1218*D800*H1200,198000
2024-06-18,김포-관리형학원/130석,올데이 B 단면형,W1218*D800*H1200,225000
2024-06-18,김포-관리형학원/130석,올데이 B 양면형,W1218*D800*H1200,219000
2024-06-17,대구 관리형 학원/겨울신록2,올데이B중앙형,700*1150*1200/740,230000
2024-06-17,대구 관리형 학원/겨울신록2,올데이B벽면형,800*1150*1200/740,238000
2024-06-17,대구 관리형 학원/겨울신록2,올데이ㅌ벽면형,800*1150*1200/740,210000
2024-05-17,은평구 독학재수학원,올데이B단면형,W1050*D700*H1200,235000
2024-05-17,은평구 독학재수학원,올데이B양면형,W1050*D700*H1200,235000
2024-05-12,창원메카,올데이BC12 2인책상,W2100*D600*H1200,320000
2024-05-12,창원메카,올데이BC12 양면수납장,W800*D300*H1200,136000
2024-05-12,창원메카,올데이BA12 벽면형책상,W1100*D600*H1200,215000
2024-05-12,창원메카,올데이B12 벽면수납장,W800*D250*H1200,119000
2024-03-29,송도 관리형 학원,올데이B양면형,W1218+D800*H1200,219000
2024-03-29,송도 관리형 학원,올데이B단면형,W1218*D750*H1200,225000
2024-03-29,송도 관리형 학원,올데이BT양면형,W2218+D636*1200,315000
2024-03-29,송도 관리형 학원,올데이 BT-양면 오픈장,W900*D300*H1200,175000
2024-03-25,세종시 학원,올데이B단면형,W1218*D750*H1200,217000
2024-03-25,세종시 학원,올데이B양면형,W1218*D750*H1200,209000
2024-03-25,세종시 학원,올데이ㅌ전체 전면 수납장,W1018+D850*H1400,315000
2024-03-07,부산 스터디카페,올데이B단면형,W1218*D750*H1200,217000
2024-03-07,부산 스터디카페,올데이B양면형,W1218*D750*H1200,209000
2024-03-07,부산 스터디카페,올데이C벽면형,W1018*0618+H1200,385000
2024-03-07,부산 스터디카페,올데이C날개형,W2036+D618+H1200,680000
2024-03-07,부산 스터디카페,올데이B단면형,W1218*D750*H1200,217000
2024-03-07,부산 스터디카페,올데이B양면형,W1218*D750*H1200,209000
2024-03-07,부산 스터디카페,올데이C벽면형,W1018*0618+H1200,385000
2024-03-07,부산 스터디카페,올데이C날개형,W2036+D618+H1200,680000
2024-03-07,부산 스터디카페,올데이B단면형,W1218*D750*H1200,217000
2024-03-07,부산 스터디카페,올데이B양면형,W1218*D750*H1200,209000
2024-03-07,부산 스터디카페,올데이C벽면형,W1018*0618+H1200,385000
2024-03-07,부산 스터디카페,올데이C날개형,W2036+D618+H1200,680000
2024-03-07,부산 스터디카페,올데이B단면형,W1218*D750*H1200,217000
2024-03-07,부산 스터디카페,올데이B양면형,W1218*D750*H1200,209000
2024-03-07,부산 스터디카페,올데이C벽면형,W1018+D618+H1200,385000
2024-03-07,부산 스터디카페,올데이C날개형,W2036+D618+H1200,680000
2023-12-26,일산 관리형 2943,올데이BA1인용,W1158+D640*H1200,245000
2023-12-26,일산 관리형 2943,올데이수납장,W750+D250*H1200,163000
2023-12-26,일산 관리형 2943,올데이C2 콘센트,2구타공+기구,10000
2023-12-22,일산 관리형 2943,올데이 BC2인용,W2152+D1440*H1200,459000
2023-12-22,일산 관리형 2943,올데이BC1인용,W1225+D1440*H1200,368000
2023-12-22,일산 관리형 2943,올데이C2 콘센트,2구타공+기구,10000
2023-12-22,일산 관리형 2943,올데이BA1인용,W1118*D700*H1200,219000
2023-12-22,일산 관리형 2943,올데이C2 콘센트,2구타공+기구,10000
2023-10-30,안양,올데이B,580/750장,246000
2023-10-24,안양,올데이B,580/750장,207500
2023-08-07,"분당,수지 / 관리형학원",올데이B양면형,W1218*D1400*H1200,284000
2023-08-07,"분당,수지 / 관리형학원",올데이B양면형,W1218*D1400*H1200,219000
2023-08-07,"분당,수지 / 관리형학원",올데이B양면형 책상규격,W1218+D1400*H1200\NW1200970*D600*H720,219000
2023-08-07,"분당,수지 / 관리형학원",올데이B양면형,W1218+D1400+H1200,219000
2023-08-07,"분당,수지 / 관리형학원",올데이B양면형,W1218+D1400+H1200,219000
2023-08-07,"분당,수지 / 관리형학원",올데이B벽면형 책상규격,W1218+D1400*H1200,345000
2023-08-07,"분당,수지 / 관리형학원",올데이B벽면형,W1218+D1400*H1200,345000
2023-08-07,"분당,수지 / 관리형학원",올데이B벽면형,W1218+D1400*H1200,345000
2023-07-19,일산 관리형 2943,올데이B 책상,W1118*D700*H1200,239000
2023-07-19,일산 관리형 2943,올데이B 수납장,W600*D250*H1200,120000
2023-07-19,일산 관리형 2943,올데이C2 콘센트,2구타공+기구,10000
2023-07-18,일산 관리형 2943,올데이B 책상,W1118*D700*H1200,239000
2023-07-18,일산 관리형 2943,올데이B 수납장,W600*D250*H1200,120000
2023-07-18,일산 관리형 2943,올데이C2 콘센트,2구타공+기구,10000
2023-06-13,대전 스터디카페,올데이C세트,W1218+D1436+H1200,362
2023-06-13,대전 스터디카페,올데이 콘센트,2구 기본형+타공,10000
2023-04-03,시흥 독서실 학원,올데이,W1218+D1500*H1335,238000
2023-04-03,시흥 독서실 학원,올데이A,타공 + 매입,10000
2023-03-23,부천 플랜트 스터디카페,어셈블올데이B2인양면,W2536*D1500*H1200,693000
2023-03-23,부천 플랜트 스터디카페,어셈블올데이B1인단면,W1338*D1400*H1200,495000
2023-03-22,부천 플랜트 스터디카페,어셈블올데이B2인양면,W2306*D1400*H1200,660000
2023-03-22,부천 플랜트 스터디카페,어셈블올데이B1인단면,W1288*D1400*H1200,495000
2023-03-22,부천 플랜트 스터디카페,어셈블올데이B2인양면,W2306*D1400*H1200,660000
2023-03-22,부천 플랜트 스터디카페,어셈블올데이B1인단면,W1288*D1400*H1200,495000
2023-03-22,부천 플랜트 스터디카페,어셈블올데이B2인양면,W2306*D1400*H1200,660000
2023-03-22,부천 플랜트 스터디카페,어셈블올데이B1인단면,W1288*D1400*H1200,495000
2022-12-15,분당 관리형 독서실,올데이 책상,W1068*D700*H1200,185000
2022-12-15,분당 관리형 독서실,올데이 책상,W1068*D590*H1200,170000
2022-12-15,분당 관리형 독서실,올데이 책장,W800+D250*H740,76000
2022-12-15,분당 관리형 독서실,올데이 책상,W1068*D700*H1200,185000
2022-12-15,분당 관리형 독서실,올데이 책장,W700*D250*H740,76000
2022-12-15,분당 관리형 독서실,올데이 책상,₩1068+D590*H1200,170000
2022-12-15,분당 관리형 독서실,올데이 책장,W800+D250*H740,76000